step,train_acc,val_acc,attn_specific_heat,attn_entropy,repr_participation_ratio,weight_spectral_entropy
23000,1.0,0.2402,0.003764,0.693435,18.1189,3.704036
23100,1.0,0.2227,0.009541,0.694228,15.3467,3.674159
23200,1.0,0.25,0.006791,0.693871,16.9975,3.681494
23300,1.0,0.2461,0.002665,0.693251,19.4395,3.701112
23400,1.0,0.2461,0.002329,0.693207,20.5239,3.716196
23500,1.0,0.248,0.002492,0.69322,20.4478,3.726752
23600,1.0,0.2383,0.002954,0.693284,20.0572,3.733598
23700,1.0,0.2363,0.003389,0.693346,19.7304,3.737325
23800,1.0,0.2305,0.003652,0.693392,19.5162,3.7384
23900,1.0,0.2285,0.003997,0.693451,19.409,3.737204
24000,1.0,0.2324,0.004085,0.693469,19.3664,3.733881
24100,1.0,0.2324,0.004001,0.693453,19.3479,3.728369
24200,1.0,0.2324,0.003996,0.69346,19.0477,3.720124
24300,1.0,0.2324,0.003927,0.693437,14.2563,3.703978
24400,1.0,0.2031,0.007337,0.693808,12.8238,3.678642
24500,1.0,0.2344,0.00536,0.693724,15.1414,3.688046
24600,1.0,0.2363,0.003124,0.693398,18.4189,3.710766
24700,1.0,0.2422,0.00346,0.693466,20.1738,3.728278
24800,1.0,0.2461,0.003746,0.693519,20.5194,3.740361
24900,1.0,0.25,0.004265,0.693602,20.3707,3.747614
25000,1.0,0.2539,0.005176,0.693758,20.1849,3.750803
