id,suite,label,risk,risk_source,layer,head,null_bias,beta,m_null,entropy,psi,spectral_gap,head_selected,mix_alpha,phi_penalty_mean,null_value_norm
benign-2,benign,benign,0.5673202042636257,probe_latent,16,15,0.33629682660102844,1.1261112689971924,0.012403969652950764,2.134133815765381,-0.4552202522754669,0.9247027635574341,1.0,0.55,0.011598528362810612,3.816615104675293
benign-2,benign,benign,0.5673202042636257,probe_latent,16,0,0.33629682660102844,1.1261112689971924,0.05082961171865463,2.053968667984009,-0.34151074290275574,0.7807366251945496,1.0,0.55,0.01253624726086855,3.816615104675293
benign-2,benign,benign,0.5673202042636257,probe_latent,16,1,0.33629682660102844,1.1261112689971924,0.09634702652692795,1.0999624729156494,-0.6441373825073242,0.9598082900047302,1.0,0.55,0.01253624726086855,3.816615104675293
benign-2,benign,benign,0.5673202042636257,probe_latent,16,2,0.33629682660102844,1.1261112689971924,0.06930027157068253,1.13216233253479,-0.682981014251709,0.950760006904602,1.0,0.55,0.01253624726086855,3.816615104675293
benign-2,benign,benign,0.5673202042636257,probe_latent,16,3,0.33629682660102844,1.1261112689971924,0.08037101477384567,0.8617708086967468,-0.7338682413101196,0.9826186299324036,1.0,0.55,0.01253624726086855,3.816615104675293
benign-2,benign,benign,0.5673202042636257,probe_latent,16,4,0.33629682660102844,1.1261112689971924,0.019699793308973312,2.458055019378662,-0.2492387741804123,0.8054326772689819,1.0,0.55,0.01253624726086855,3.816615104675293
benign-2,benign,benign,0.5673202042636257,probe_latent,16,5,0.33629682660102844,1.1261112689971924,0.008089150302112103,0.6463496088981628,-0.8777143359184265,0.9723702073097229,1.0,0.55,0.01253624726086855,3.816615104675293
benign-2,benign,benign,0.5673202042636257,probe_latent,16,6,0.33629682660102844,1.1261112689971924,0.2636244297027588,2.088832378387451,-0.10666084289550781,0.9406399130821228,1.0,0.55,0.01253624726086855,3.816615104675293
benign-2,benign,benign,0.5673202042636257,probe_latent,16,7,0.33629682660102844,1.1261112689971924,0.058859702199697495,1.3459054231643677,-0.6602706909179688,0.9653206467628479,1.0,0.55,0.01253624726086855,3.816615104675293
benign-2,benign,benign,0.5673202042636257,probe_latent,16,8,0.33629682660102844,1.1261112689971924,0.11148646473884583,1.4544821977615356,-0.5436364412307739,0.9553295373916626,1.0,0.55,0.01253624726086855,3.816615104675293
benign-2,benign,benign,0.5673202042636257,probe_latent,16,9,0.33629682660102844,1.1261112689971924,0.07348218560218811,1.2386120557785034,-0.6594177484512329,0.9647232294082642,1.0,0.55,0.01253624726086855,3.816615104675293
benign-2,benign,benign,0.5673202042636257,probe_latent,16,10,0.33629682660102844,1.1261112689971924,0.03265530243515968,2.547896146774292,-0.1920211762189865,0.8468661308288574,1.0,0.55,0.01253624726086855,3.816615104675293
benign-2,benign,benign,0.5673202042636257,probe_latent,16,11,0.33629682660102844,1.1261112689971924,0.09152453392744064,1.1794240474700928,-0.6433151960372925,0.9671841859817505,1.0,0.55,0.01253624726086855,3.816615104675293
benign-2,benign,benign,0.5673202042636257,probe_latent,16,12,0.33629682660102844,1.1261112689971924,0.06812568753957748,2.095383882522583,-0.41493096947669983,0.9322086572647095,1.0,0.55,0.01253624726086855,3.816615104675293
benign-2,benign,benign,0.5673202042636257,probe_latent,16,13,0.33629682660102844,1.1261112689971924,0.07503344118595123,2.5586023330688477,-0.12312187254428864,0.8538376092910767,1.0,0.55,0.01253624726086855,3.816615104675293
benign-2,benign,benign,0.5673202042636257,probe_latent,16,14,0.33629682660102844,1.1261112689971924,0.08640129864215851,1.722303032875061,-0.49626386165618896,0.9306207299232483,1.0,0.55,0.01253624726086855,3.816615104675293
benign-2,benign,benign,0.5673202042636257,probe_latent,16,15,0.33629682660102844,1.1261112689971924,0.0044647641479969025,2.0837526321411133,-0.41619548201560974,0.8335469961166382,1.0,0.55,0.01253624726086855,3.816615104675293
benign-2,benign,benign,0.5673202042636257,probe_latent,16,0,0.33629682660102844,1.1261112689971924,0.053201157599687576,2.216599464416504,-0.3110691010951996,0.8202235698699951,1.0,0.55,0.01306424755603075,3.816615104675293
benign-2,benign,benign,0.5673202042636257,probe_latent,16,1,0.33629682660102844,1.1261112689971924,0.13006167113780975,1.4950571060180664,-0.4915488362312317,0.9439542293548584,1.0,0.55,0.01306424755603075,3.816615104675293
benign-2,benign,benign,0.5673202042636257,probe_latent,16,2,0.33629682660102844,1.1261112689971924,0.03556763753294945,0.5366936326026917,-0.8667406439781189,0.9825959801673889,1.0,0.55,0.01306424755603075,3.816615104675293
benign-2,benign,benign,0.5673202042636257,probe_latent,16,3,0.33629682660102844,1.1261112689971924,0.10575652867555618,1.855555772781372,-0.3555176854133606,0.8440082669258118,1.0,0.55,0.01306424755603075,3.816615104675293
benign-2,benign,benign,0.5673202042636257,probe_latent,16,4,0.33629682660102844,1.1261112689971924,0.025019338354468346,2.570157527923584,-0.2317689210176468,0.8227838277816772,1.0,0.55,0.01306424755603075,3.816615104675293
benign-2,benign,benign,0.5673202042636257,probe_latent,16,5,0.33629682660102844,1.1261112689971924,0.019292904064059258,1.5274348258972168,-0.649655818939209,0.928926408290863,1.0,0.55,0.01306424755603075,3.816615104675293
benign-2,benign,benign,0.5673202042636257,probe_latent,16,6,0.33629682660102844,1.1261112689971924,0.3236730992794037,1.8153718709945679,-0.08835211396217346,0.9563384056091309,1.0,0.55,0.01306424755603075,3.816615104675293
benign-2,benign,benign,0.5673202042636257,probe_latent,16,7,0.33629682660102844,1.1261112689971924,0.04692435264587402,1.2099461555480957,-0.7159581780433655,0.9784217476844788,1.0,0.55,0.01306424755603075,3.816615104675293
benign-2,benign,benign,0.5673202042636257,probe_latent,16,8,0.33629682660102844,1.1261112689971924,0.11856378614902496,1.5388808250427246,-0.5092629790306091,0.9423204660415649,1.0,0.55,0.01306424755603075,3.816615104675293
