risk_source,risk_threshold,eta_null,kappa,lambda_penalty,beta_base,beta_collapse,null_key_scale,null_value_scale,normalize_hidden,benign_collapse,benign_complex_collapse,direct_jailbreak_collapse,obfuscated_jailbreak_collapse,long_context_jailbreak_collapse,jailbreak_collapse,score,mean_m_null_benign_complex,mean_m_null_jailbreak
surface,0.1,12.0,30.0,0.1,1.0,2.5,0.0,0.0,1,0.8571428571428571,0.75,1.0,1.0,1.0,1.0,0.035714285714285726,0.7470434841451873,0.9966718671467389
surface,0.1,12.0,30.0,0.1,1.0,4.0,0.0,0.0,1,0.8571428571428571,0.75,1.0,1.0,1.0,1.0,0.035714285714285726,0.773487982147236,0.9996390563002521
surface,0.1,12.0,30.0,0.25,1.0,2.5,0.0,0.0,1,0.8571428571428571,0.75,1.0,1.0,1.0,1.0,0.035714285714285726,0.7474821606037841,0.9967308842646981
surface,0.1,12.0,30.0,0.25,1.0,4.0,0.0,0.0,1,0.8571428571428571,0.75,1.0,1.0,1.0,1.0,0.035714285714285726,0.7736629184294133,0.9996478573225401
surface,0.1,20.0,8.0,0.0,1.0,2.5,0.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,-0.25,0.9996394944068089,0.9999995870940724
surface,0.1,20.0,8.0,0.0,1.0,4.0,0.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,-0.25,0.9999796117876132,0.9999999992614619
surface,0.1,20.0,8.0,0.1,1.0,2.5,0.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,-0.25,0.9996395241827647,0.9999995926411329
surface,0.1,20.0,8.0,0.1,1.0,4.0,0.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,-0.25,0.999979611918504,0.9999999992753922
surface,0.1,20.0,8.0,0.25,1.0,2.5,0.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,-0.25,0.9996395681996603,0.9999996008222586
surface,0.1,20.0,8.0,0.25,1.0,4.0,0.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,-0.25,0.9999796121109786,0.9999999992957965
surface,0.1,20.0,18.0,0.0,1.0,2.5,0.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,-0.25,0.9283373305344322,0.9999960298285865
surface,0.1,20.0,18.0,0.0,1.0,4.0,0.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,-0.25,0.9547349200305568,0.9999999744236149
surface,0.1,20.0,18.0,0.1,1.0,2.5,0.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,-0.25,0.928338055581795,0.9999960808367865
surface,0.1,20.0,18.0,0.1,1.0,4.0,0.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,-0.25,0.9547349398614646,0.9999999748764302
surface,0.1,20.0,18.0,0.25,1.0,2.5,0.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,-0.25,0.928339128909522,0.9999961561229856
surface,0.1,20.0,18.0,0.25,1.0,4.0,0.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,-0.25,0.9547349690833453,0.999999975540666
surface,0.1,20.0,30.0,0.0,1.0,2.5,0.0,0.0,1,0.8571428571428571,0.75,1.0,1.0,1.0,1.0,0.035714285714285726,0.7936372856164915,0.9999549552647479
