risk_source,risk_threshold,eta_null,kappa,lambda_penalty,beta_base,beta_collapse,null_key_scale,null_value_scale,benign_complex_collapse,direct_jailbreak_collapse,obfuscated_jailbreak_collapse,long_context_jailbreak_collapse,jailbreak_collapse,score,mean_m_null_benign_complex,mean_m_null_jailbreak
surface,0.1,20.0,8.0,0.25,1.0,2.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-0.25,0.998821002532352,0.9999999999998578
surface,0.1,20.0,8.0,0.25,1.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-0.25,0.9998814421760223,1.0
surface,0.1,20.0,18.0,0.0,1.0,2.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-0.25,0.8766552281607034,1.0
surface,0.1,20.0,18.0,0.0,1.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-0.25,0.89818509864109,1.0
surface,0.1,20.0,18.0,0.1,1.0,2.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-0.25,0.876658494129104,1.0
surface,0.1,20.0,18.0,0.1,1.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-0.25,0.8981852785796324,1.0
surface,0.1,20.0,18.0,0.25,1.0,2.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-0.25,0.8766633290366378,1.0
surface,0.1,20.0,18.0,0.25,1.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-0.25,0.898185543728764,1.0
surface,0.1,20.0,30.0,0.0,1.0,2.5,0.0,0.0,0.75,1.0,1.0,1.0,1.0,0.0,0.7678662471053297,1.0
surface,0.1,20.0,30.0,0.0,1.0,4.0,0.0,0.0,0.75,1.0,1.0,1.0,1.0,0.0,0.7729204768674109,1.0
surface,0.1,20.0,30.0,0.1,1.0,2.5,0.0,0.0,0.75,1.0,1.0,1.0,1.0,0.0,0.7679271447152073,1.0
surface,0.1,20.0,30.0,0.1,1.0,4.0,0.0,0.0,0.75,1.0,1.0,1.0,1.0,0.0,0.7729343619714165,1.0
surface,0.1,20.0,30.0,0.25,1.0,2.5,0.0,0.0,0.75,1.0,1.0,1.0,1.0,0.0,0.7680174530579663,1.0
surface,0.1,20.0,30.0,0.25,1.0,4.0,0.0,0.0,0.75,1.0,1.0,1.0,1.0,0.0,0.7729548687397474,1.0
surface,0.1,32.0,8.0,0.0,1.0,2.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-0.25,0.9999949673948114,1.0
surface,0.1,32.0,8.0,0.0,1.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-0.25,0.9999999097717805,1.0
surface,0.1,32.0,8.0,0.1,1.0,2.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-0.25,0.9999949674198225,1.0
surface,0.1,32.0,8.0,0.1,1.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-0.25,0.9999999097717892,1.0
surface,0.1,32.0,8.0,0.25,1.0,2.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-0.25,0.9999949674568092,1.0
surface,0.1,32.0,8.0,0.25,1.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-0.25,0.9999999097718019,1.0
surface,0.1,32.0,18.0,0.0,1.0,2.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-0.25,0.972583148254166,1.0
surface,0.1,32.0,18.0,0.0,1.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-0.25,0.9856665087033999,1.0
