id,suite,label,risk,layer,head,null_bias,beta,m_null,entropy,psi,spectral_gap,head_selected,mix_alpha,phi_penalty_mean,null_value_norm
benign-2,benign,benign,0.08,5,8,0.15075159072875977,1.0565319061279297,0.005544276908040047,2.3408639430999756,-0.2232852578163147,0.7279472351074219,1.0,0.55,0.00215910654515028,4.085087299346924
benign-2,benign,benign,0.08,5,9,0.15075159072875977,1.0565319061279297,0.01764974184334278,1.6520217657089233,-0.5069963932037354,0.64697265625,1.0,0.55,0.00215910654515028,4.085087299346924
benign-2,benign,benign,0.08,5,10,0.15075159072875977,1.0565319061279297,0.025873197242617607,2.0823585987091064,-0.34136947989463806,0.46259361505508423,1.0,0.55,0.00215910654515028,4.085087299346924
benign-2,benign,benign,0.08,5,11,0.15075159072875977,1.0565319061279297,0.022657299414277077,1.8037629127502441,-0.4439610242843628,0.5058947801589966,1.0,0.55,0.00215910654515028,4.085087299346924
benign-2,benign,benign,0.08,5,0,0.15075159072875977,1.0565319061279297,0.03608033433556557,1.393653392791748,-0.6487658023834229,0.9357658624649048,1.0,0.55,0.001582147553563118,4.001303195953369
benign-2,benign,benign,0.08,5,1,0.15075159072875977,1.0565319061279297,0.022512413561344147,1.795539379119873,-0.5518877506256104,0.9447041749954224,1.0,0.55,0.001582147553563118,4.001303195953369
benign-2,benign,benign,0.08,5,2,0.15075159072875977,1.0565319061279297,0.03401142731308937,1.4323185682296753,-0.6374192833900452,0.9409520626068115,1.0,0.55,0.001582147553563118,4.001303195953369
benign-2,benign,benign,0.08,5,3,0.15075159072875977,1.0565319061279297,0.058601025491952896,1.9819738864898682,-0.4423424005508423,0.9281169176101685,1.0,0.55,0.001582147553563118,4.001303195953369
benign-2,benign,benign,0.08,5,4,0.15075159072875977,1.0565319061279297,0.033101581037044525,1.6747398376464844,-0.5710964202880859,0.9331651926040649,1.0,0.55,0.001582147553563118,4.001303195953369
benign-2,benign,benign,0.08,5,5,0.15075159072875977,1.0565319061279297,0.02268599532544613,1.6336157321929932,-0.5689502358436584,0.8916965126991272,1.0,0.55,0.001582147553563118,4.001303195953369
benign-2,benign,benign,0.08,5,6,0.15075159072875977,1.0565319061279297,0.025759847834706306,1.3647490739822388,-0.6680771112442017,0.9432746171951294,1.0,0.55,0.001582147553563118,4.001303195953369
benign-2,benign,benign,0.08,5,7,0.15075159072875977,1.0565319061279297,0.027830347418785095,1.8528386354446411,-0.5246257781982422,0.9471647143363953,1.0,0.55,0.001582147553563118,4.001303195953369
benign-2,benign,benign,0.08,5,8,0.15075159072875977,1.0565319061279297,0.0009491037926636636,1.7041864395141602,-0.5225468277931213,0.8419948220252991,1.0,0.55,0.001582147553563118,4.001303195953369
benign-2,benign,benign,0.08,5,9,0.15075159072875977,1.0565319061279297,0.022350553423166275,1.267331600189209,-0.708111584186554,0.9546951651573181,1.0,0.55,0.001582147553563118,4.001303195953369
benign-2,benign,benign,0.08,5,10,0.15075159072875977,1.0565319061279297,0.024646347388625145,1.5668387413024902,-0.569816529750824,0.8756145238876343,1.0,0.55,0.001582147553563118,4.001303195953369
benign-2,benign,benign,0.08,5,11,0.15075159072875977,1.0565319061279297,0.02001321129500866,1.8186538219451904,-0.39310458302497864,0.6992496252059937,1.0,0.55,0.001582147553563118,4.001303195953369
benign-2,benign,benign,0.08,5,0,0.15075159072875977,1.0565319061279297,0.031917065382003784,2.06701922416687,-0.40629372000694275,0.901160478591919,1.0,0.55,0.001787633984349668,3.9408047199249268
benign-2,benign,benign,0.08,5,1,0.15075159072875977,1.0565319061279297,0.021949367597699165,2.0802247524261475,-0.4563737213611603,0.9409103393554688,1.0,0.55,0.001787633984349668,3.9408047199249268
benign-2,benign,benign,0.08,5,2,0.15075159072875977,1.0565319061279297,0.03310362994670868,1.6983637809753418,-0.5580630898475647,0.9270535707473755,1.0,0.55,0.001787633984349668,3.9408047199249268
benign-2,benign,benign,0.08,5,3,0.15075159072875977,1.0565319061279297,0.05355669930577278,2.352402448654175,-0.2935701310634613,0.9059996604919434,1.0,0.55,0.001787633984349668,3.9408047199249268
benign-2,benign,benign,0.08,5,4,0.15075159072875977,1.0565319061279297,0.02871321700513363,1.9497462511062622,-0.47989803552627563,0.9256203174591064,1.0,0.55,0.001787633984349668,3.9408047199249268
benign-2,benign,benign,0.08,5,5,0.15075159072875977,1.0565319061279297,0.021092258393764496,1.9876115322113037,-0.4471900463104248,0.8931784629821777,1.0,0.55,0.001787633984349668,3.9408047199249268
benign-2,benign,benign,0.08,5,6,0.15075159072875977,1.0565319061279297,0.025107497349381447,1.6338351964950562,-0.5798548460006714,0.9172139167785645,1.0,0.55,0.001787633984349668,3.9408047199249268
benign-2,benign,benign,0.08,5,7,0.15075159072875977,1.0565319061279297,0.02536783739924431,2.2033581733703613,-0.3939429521560669,0.9163042902946472,1.0,0.55,0.001787633984349668,3.9408047199249268
benign-2,benign,benign,0.08,5,8,0.15075159072875977,1.0565319061279297,0.0006660143844783306,1.596174955368042,-0.4132533669471741,0.6546977758407593,1.0,0.55,0.001787633984349668,3.9408047199249268
benign-2,benign,benign,0.08,5,9,0.15075159072875977,1.0565319061279297,0.021951811388134956,1.55220365524292,-0.6278292536735535,0.9367698431015015,1.0,0.55,0.001787633984349668,3.9408047199249268
benign-2,benign,benign,0.08,5,10,0.15075159072875977,1.0565319061279297,0.02385851740837097,1.8265221118927002,-0.48974183201789856,0.8963508009910583,1.0,0.55,0.001787633984349668,3.9408047199249268
benign-2,benign,benign,0.08,5,11,0.15075159072875977,1.0565319061279297,0.029840994626283646,2.432523727416992,-0.3027854561805725,0.9121237993240356,1.0,0.55,0.001787633984349668,3.9408047199249268
benign-2,benign,benign,0.08,5,0,0.15075159072875977,1.0565319061279297,0.02679089829325676,2.285778284072876,-0.30213233828544617,0.8757588863372803,1.0,0.55,0.0018846569582819939,3.890362024307251
benign-2,benign,benign,0.08,5,1,0.15075159072875977,1.0565319061279297,0.02221950702369213,2.2287275791168213,-0.40933671593666077,0.9436991214752197,1.0,0.55,0.0018846569582819939,3.890362024307251
benign-2,benign,benign,0.08,5,2,0.15075159072875977,1.0565319061279297,0.03233759477734566,1.7791088819503784,-0.5407138466835022,0.9285008311271667,1.0,0.55,0.0018846569582819939,3.890362024307251
benign-2,benign,benign,0.08,5,3,0.15075159072875977,1.0565319061279297,0.04830014333128929,2.5023176670074463,-0.23114746809005737,0.8968849182128906,1.0,0.55,0.0018846569582819939,3.890362024307251
benign-2,benign,benign,0.08,5,4,0.15075159072875977,1.0565319061279297,0.02708158828318119,2.0449328422546387,-0.4552867114543915,0.9299704432487488,1.0,0.55,0.0018846569582819939,3.890362024307251
benign-2,benign,benign,0.08,5,5,0.15075159072875977,1.0565319061279297,0.021253520622849464,2.164480209350586,-0.3906329870223999,0.902819037437439,1.0,0.55,0.0018846569582819939,3.890362024307251
benign-2,benign,benign,0.08,5,6,0.15075159072875977,1.0565319061279297,0.026980502530932426,1.6996859312057495,-0.567234992980957,0.9224189519882202,1.0,0.55,0.0018846569582819939,3.890362024307251
benign-2,benign,benign,0.08,5,7,0.15075159072875977,1.0565319061279297,0.02499246411025524,2.3527209758758545,-0.33455944061279297,0.8951674103736877,1.0,0.55,0.0018846569582819939,3.890362024307251
benign-2,benign,benign,0.08,5,8,0.15075159072875977,1.0565319061279297,0.00046631283476017416,1.7223576307296753,-0.3301362097263336,0.7222824096679688,1.0,0.55,0.0018846569582819939,3.890362024307251
benign-2,benign,benign,0.08,5,9,0.15075159072875977,1.0565319061279297,0.022873155772686005,1.6674796342849731,-0.5997871160507202,0.9341067671775818,1.0,0.55,0.0018846569582819939,3.890362024307251
benign-2,benign,benign,0.08,5,10,0.15075159072875977,1.0565319061279297,0.022377360612154007,1.9605653285980225,-0.43934786319732666,0.9045729041099548,1.0,0.55,0.0018846569582819939,3.890362024307251
benign-2,benign,benign,0.08,5,11,0.15075159072875977,1.0565319061279297,0.030615581199526787,2.527028799057007,-0.2863227128982544,0.9325992465019226,1.0,0.55,0.0018846569582819939,3.890362024307251
benign-2,benign,benign,0.08,5,0,0.15075159072875977,1.0565319061279297,0.02232866734266281,2.3998091220855713,-0.23697757720947266,0.8553137183189392,1.0,0.55,0.001939280773513019,3.8470513820648193
benign-2,benign,benign,0.08,5,1,0.15075159072875977,1.0565319061279297,0.021551575511693954,2.3065221309661865,-0.38975295424461365,0.9450294375419617,1.0,0.55,0.001939280773513019,3.8470513820648193
benign-2,benign,benign,0.08,5,2,0.15075159072875977,1.0565319061279297,0.03144301846623421,1.8115512132644653,-0.5409042835235596,0.9350666999816895,1.0,0.55,0.001939280773513019,3.8470513820648193
benign-2,benign,benign,0.08,5,3,0.15075159072875977,1.0565319061279297,0.045047204941511154,2.5703701972961426,-0.20911641418933868,0.8941395282745361,1.0,0.55,0.001939280773513019,3.8470513820648193
benign-2,benign,benign,0.08,5,4,0.15075159072875977,1.0565319061279297,0.02559351921081543,2.093970775604248,-0.44668471813201904,0.9381442070007324,1.0,0.55,0.001939280773513019,3.8470513820648193
benign-2,benign,benign,0.08,5,5,0.15075159072875977,1.0565319061279297,0.02125632017850876,2.257004976272583,-0.36782246828079224,0.9108828902244568,1.0,0.55,0.001939280773513019,3.8470513820648193
benign-2,benign,benign,0.08,5,6,0.15075159072875977,1.0565319061279297,0.028355654329061508,1.6982331275939941,-0.5796353220939636,0.929069995880127,1.0,0.55,0.001939280773513019,3.8470513820648193
benign-2,benign,benign,0.08,5,7,0.15075159072875977,1.0565319061279297,0.024477016180753708,2.426783561706543,-0.31724977493286133,0.8915210962295532,1.0,0.55,0.001939280773513019,3.8470513820648193
benign-2,benign,benign,0.08,5,8,0.15075159072875977,1.0565319061279297,0.0003120508335996419,1.851036548614502,-0.2816142737865448,0.765187680721283,1.0,0.55,0.001939280773513019,3.8470513820648193
benign-2,benign,benign,0.08,5,9,0.15075159072875977,1.0565319061279297,0.023173648864030838,1.6988108158111572,-0.600169837474823,0.9407938122749329,1.0,0.55,0.001939280773513019,3.8470513820648193
benign-2,benign,benign,0.08,5,10,0.15075159072875977,1.0565319061279297,0.020040959119796753,1.9987584352493286,-0.4239718019962311,0.9132174253463745,1.0,0.55,0.001939280773513019,3.8470513820648193
benign-2,benign,benign,0.08,5,11,0.15075159072875977,1.0565319061279297,0.029556546360254288,2.574647903442383,-0.28436991572380066,0.9393833875656128,1.0,0.55,0.001939280773513019,3.8470513820648193
benign-2,benign,benign,0.08,5,0,0.15075159072875977,1.0565319061279297,0.017408480867743492,2.4775614738464355,-0.1784498542547226,0.85858154296875,1.0,0.55,0.0020304934587329626,3.809965133666992
benign-2,benign,benign,0.08,5,1,0.15075159072875977,1.0565319061279297,0.02017265558242798,2.4232523441314697,-0.3549154996871948,0.9451491236686707,1.0,0.55,0.0020304934587329626,3.809965133666992
benign-2,benign,benign,0.08,5,2,0.15075159072875977,1.0565319061279297,0.03037233091890812,1.9254465103149414,-0.5119774341583252,0.9340342879295349,1.0,0.55,0.0020304934587329626,3.809965133666992
benign-2,benign,benign,0.08,5,3,0.15075159072875977,1.0565319061279297,0.04108809679746628,2.6525728702545166,-0.17710110545158386,0.8946707248687744,1.0,0.55,0.0020304934587329626,3.809965133666992
benign-2,benign,benign,0.08,5,4,0.15075159072875977,1.0565319061279297,0.02416323497891426,2.170212507247925,-0.4306718409061432,0.9405113458633423,1.0,0.55,0.0020304934587329626,3.809965133666992
