risk_source,risk_threshold,eta_null,kappa,lambda_penalty,beta_base,beta_collapse,null_key_scale,null_value_scale,benign_collapse,benign_complex_collapse,direct_jailbreak_collapse,obfuscated_jailbreak_collapse,long_context_jailbreak_collapse,jailbreak_collapse,score,mean_m_null_benign_complex,mean_m_null_jailbreak
surface,0.1,20.0,8.0,0.0,1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.398152900583473e-279,1.2155843865555477e-127
surface,0.1,20.0,8.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6547388702122051e-193
surface,0.1,20.0,8.0,0.1,1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.398152900583473e-279,1.279370975230798e-127
surface,0.1,20.0,8.0,0.1,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7894895321559712e-193
surface,0.1,20.0,8.0,0.25,1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.398152900583473e-279,1.3813812746378505e-127
surface,0.1,20.0,8.0,0.25,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0124666987964407e-193
surface,0.1,20.0,18.0,0.0,1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.847104277728767e-233,4.5610954207058685e-139
surface,0.1,20.0,18.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.271411583552059e-273,7.462446429713741e-218
surface,0.1,20.0,18.0,0.1,1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.847104277728767e-233,4.8301714913527036e-139
surface,0.1,20.0,18.0,0.1,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.271411583552059e-273,8.170430563574729e-218
surface,0.1,20.0,18.0,0.25,1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.847104277728767e-233,5.263839500077055e-139
surface,0.1,20.0,18.0,0.25,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.271411583552059e-273,9.360316181233834e-218
surface,0.1,20.0,30.0,0.0,1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4970320321289406e-207,7.289944014787055e-143
surface,0.1,20.0,30.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1497952986487828e-220,5.7622096669301345e-226
surface,0.1,20.0,30.0,0.1,1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4970320321289406e-207,7.736613047918749e-143
surface,0.1,20.0,30.0,0.1,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1497952986487828e-220,6.336061073507339e-226
surface,0.1,20.0,30.0,0.25,1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4970320321289406e-207,8.45845221365367e-143
surface,0.1,20.0,30.0,0.25,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1497952986487828e-220,7.305749918412929e-226
surface,0.1,32.0,8.0,0.0,1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2569555781844158e-276,2.873096915880227e-119
surface,0.1,32.0,8.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0874821234728546e-180
surface,0.1,32.0,8.0,0.1,1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2569555781844158e-276,3.0238598355296626e-119
surface,0.1,32.0,8.0,0.1,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1760392599660508e-180
surface,0.1,32.0,8.0,0.25,1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2569555781844158e-276,3.264966483374266e-119
surface,0.1,32.0,8.0,0.25,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3225782015653629e-180
surface,0.1,32.0,18.0,0.0,1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0317483263144108e-232,1.5096817726824877e-127
surface,0.1,32.0,18.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4392721554999198e-272,1.2276432004453821e-199
surface,0.1,32.0,18.0,0.1,1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0317483263144108e-232,1.5987435444394322e-127
surface,0.1,32.0,18.0,0.1,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4392721554999198e-272,1.344113303935424e-199
surface,0.1,32.0,18.0,0.25,1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0317483263144108e-232,1.7422837749714524e-127
surface,0.1,32.0,18.0,0.25,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4392721554999198e-272,1.5398607711481281e-199
surface,0.1,32.0,30.0,0.0,1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.273138579911244e-207,3.8484290739387694e-130
surface,0.1,32.0,30.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2026608076161434e-220,1.1780649284184932e-205
surface,0.1,32.0,30.0,0.1,1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.273138579911244e-207,4.0842298002605816e-130
surface,0.1,32.0,30.0,0.1,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2026608076161434e-220,1.2953869724413008e-205
surface,0.1,32.0,30.0,0.25,1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.273138579911244e-207,4.465295392326465e-130
surface,0.1,32.0,30.0,0.25,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2026608076161434e-220,1.4936366866469478e-205
surface,0.18,4.0,8.0,0.0,1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7615022584516035e-248,2.7181874363893402e-126
surface,0.18,4.0,8.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.113004415358937e-303,2.5053236416216133e-185
surface,0.18,4.0,8.0,0.1,1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7615022584516035e-248,2.8468246008536734e-126
surface,0.18,4.0,8.0,0.1,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.113004415358937e-303,2.6828932186807086e-185
surface,0.18,4.0,8.0,0.25,1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7615022584516035e-248,3.0512842977667196e-126
surface,0.18,4.0,8.0,0.25,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.113004415358937e-303,2.973121889213963e-185
surface,0.18,4.0,18.0,0.0,1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1961121238022691e-204,4.036147757827932e-138
surface,0.18,4.0,18.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8064715946684735e-215,3.2629163114143996e-209
surface,0.18,4.0,18.0,0.1,1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1961121238022691e-204,4.246794636428312e-138
surface,0.18,4.0,18.0,0.1,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8064715946684735e-215,3.5267223834232337e-209
surface,0.18,4.0,18.0,0.25,1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1961121238022691e-204,4.583556248457614e-138
surface,0.18,4.0,18.0,0.25,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8064715946684735e-215,3.962956297591404e-209
surface,0.18,4.0,30.0,0.0,1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.560615121609693e-195,2.612569388689468e-148
surface,0.18,4.0,30.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8124322862550755e-196,9.106299904681888e-230
surface,0.18,4.0,30.0,0.1,1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.560728551773051e-195,2.7599913312307346e-148
surface,0.18,4.0,30.0,0.1,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8124322862555153e-196,9.887977140514926e-230
surface,0.18,4.0,30.0,0.25,1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.56090023156875e-195,2.9968675146290086e-148
surface,0.18,4.0,30.0,0.25,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8124322862561812e-196,1.1193120175657238e-229
surface,0.18,8.0,8.0,0.0,1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.723198028120127e-248,3.175487641024948e-124
surface,0.18,8.0,8.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.060865733719993e-303,2.889268586744175e-182
surface,0.18,8.0,8.0,0.1,1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.723198028120127e-248,3.3257663600214535e-124
surface,0.18,8.0,8.0,0.1,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.060865733719993e-303,3.094050991873364e-182
surface,0.18,8.0,8.0,0.25,1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.723198028120127e-248,3.5646237809421804e-124
surface,0.18,8.0,8.0,0.25,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.060865733719993e-303,3.4287576807870135e-182
surface,0.18,8.0,18.0,0.0,1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4026316536624867e-204,2.263768650881106e-135
surface,0.18,8.0,18.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1365056799942122e-215,5.18254442197815e-205
surface,0.18,8.0,18.0,0.1,1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4026316536624867e-204,2.381914920243187e-135
surface,0.18,8.0,18.0,0.1,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1365056799942122e-215,5.60155200798047e-205
surface,0.18,8.0,18.0,0.25,1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4026316536624867e-204,2.570795611901111e-135
surface,0.18,8.0,18.0,0.25,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1365056799942122e-215,6.294429612790978e-205
surface,0.18,8.0,30.0,0.0,1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.627794743558359e-195,6.710625780354276e-145
surface,0.18,8.0,30.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.845771667571786e-196,1.8506143675246912e-224
surface,0.18,8.0,30.0,0.1,1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.627925542493294e-195,7.089292656147222e-145
surface,0.18,8.0,30.0,0.1,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8457716675722967e-196,2.0163811138149587e-224
surface,0.18,8.0,30.0,0.25,1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6281235104214235e-195,7.697731011869427e-145
surface,0.18,8.0,30.0,0.25,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.84577166757307e-196,2.2932830411934084e-224
surface,0.18,12.0,8.0,0.0,1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2664530803639227e-247,3.709722745130754e-122
surface,0.18,12.0,8.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3594756616330983e-302,3.3320537225852805e-179
surface,0.18,12.0,8.0,0.1,1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2664530803639227e-247,3.885283932889149e-122
surface,0.18,12.0,8.0,0.1,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3594756616330983e-302,3.568219366188389e-179
surface,0.18,12.0,8.0,0.25,1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2664530803639227e-247,4.1643260541007727e-122
surface,0.18,12.0,8.0,0.25,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3594756616330983e-302,3.954220402535677e-179
surface,0.18,12.0,18.0,0.0,1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6448086401815284e-204,1.2696880323008573e-132
surface,0.18,12.0,18.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5268354809008237e-215,8.231521780628397e-201
surface,0.18,12.0,18.0,0.1,1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6448086401815284e-204,1.3359531536114953e-132
surface,0.18,12.0,18.0,0.1,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5268354809008237e-215,8.897038520976982e-201
surface,0.18,12.0,18.0,0.25,1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6448086401815284e-204,1.4418913437341556e-132
surface,0.18,12.0,18.0,0.25,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5268354809008237e-215,9.997547581954864e-201
surface,0.18,12.0,30.0,0.0,1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.696526833715348e-195,1.7236862132317307e-141
surface,0.18,12.0,30.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8797243210958786e-196,3.944107937109389e-219
surface,0.18,12.0,30.0,0.1,1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.696677660980986e-195,1.8209502977710088e-141
surface,0.18,12.0,30.0,0.1,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8797243210964717e-196,4.2973971570675136e-219
surface,0.18,12.0,30.0,0.25,1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.696905942360331e-195,1.9772333091751077e-141
surface,0.18,12.0,30.0,0.25,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8797243210973695e-196,4.887542456886396e-219
