step      0 | train 0.023 val 0.037 | C_attn 0.0256 H_attn 1.0848 PR 21.79 Sspec 3.8159
step   4000 | train 1.000 val 0.490 | C_attn 0.0103 H_attn 0.6943 PR 18.60 Sspec 3.5686
step   4100 | train 1.000 val 0.490 | C_attn 0.0100 H_attn 0.6943 PR 12.71 Sspec 3.5510
step   4200 | train 1.000 val 0.492 | C_attn 0.0086 H_attn 0.6940 PR 3.89 Sspec 3.5275
step   4300 | train 1.000 val 0.498 | C_attn 0.0187 H_attn 0.6958 PR 5.91 Sspec 3.5167
step   4400 | train 1.000 val 0.508 | C_attn 0.0134 H_attn 0.6948 PR 10.25 Sspec 3.5076
step   4500 | train 1.000 val 0.516 | C_attn 0.0164 H_attn 0.6953 PR 15.14 Sspec 3.4976
step   4600 | train 1.000 val 0.523 | C_attn 0.0171 H_attn 0.6954 PR 17.51 Sspec 3.4894
step   4700 | train 1.000 val 0.539 | C_attn 0.0174 H_attn 0.6955 PR 17.72 Sspec 3.4827
step   4800 | train 1.000 val 0.562 | C_attn 0.0167 H_attn 0.6954 PR 16.86 Sspec 3.4774
step   4900 | train 1.000 val 0.572 | C_attn 0.0165 H_attn 0.6953 PR 15.75 Sspec 3.4731
step   5000 | train 1.000 val 0.602 | C_attn 0.0170 H_attn 0.6954 PR 14.67 Sspec 3.4693
step   5100 | train 1.000 val 0.627 | C_attn 0.0187 H_attn 0.6957 PR 13.72 Sspec 3.4651
step   5200 | train 1.000 val 0.684 | C_attn 0.0215 H_attn 0.6963 PR 12.88 Sspec 3.4601
step   5300 | train 1.000 val 0.727 | C_attn 0.0260 H_attn 0.6973 PR 12.22 Sspec 3.4537
step   5400 | train 1.000 val 0.770 | C_attn 0.0317 H_attn 0.6986 PR 11.68 Sspec 3.4451
step   5500 | train 1.000 val 0.809 | C_attn 0.0379 H_attn 0.7000 PR 11.23 Sspec 3.4327
step   5600 | train 1.000 val 0.854 | C_attn 0.0434 H_attn 0.7014 PR 10.82 Sspec 3.4161
step   5700 | train 1.000 val 0.904 | C_attn 0.0482 H_attn 0.7026 PR 10.41 Sspec 3.3948
step   5800 | train 1.000 val 0.936 | C_attn 0.0511 H_attn 0.7033 PR 9.88 Sspec 3.3703
step   5900 | train 1.000 val 0.951 | C_attn 0.0531 H_attn 0.7038 PR 9.19 Sspec 3.3429
step   6000 | train 1.000 val 0.959 | C_attn 0.0503 H_attn 0.7031 PR 7.40 Sspec 3.3080
step   6100 | train 1.000 val 0.961 | C_attn 0.0390 H_attn 0.7003 PR 3.25 Sspec 3.2601
step   6200 | train 1.000 val 0.963 | C_attn 0.1290 H_attn 0.7316 PR 4.38 Sspec 3.2450
step   6300 | train 1.000 val 0.969 | C_attn 0.0550 H_attn 0.7043 PR 5.78 Sspec 3.2321
step   6400 | train 1.000 val 0.979 | C_attn 0.0563 H_attn 0.7047 PR 7.38 Sspec 3.2186
step   6500 | train 1.000 val 0.980 | C_attn 0.0597 H_attn 0.7057 PR 7.85 Sspec 3.2058
step   6600 | train 1.000 val 0.988 | C_attn 0.0616 H_attn 0.7063 PR 7.35 Sspec 3.1920
step   6700 | train 1.000 val 0.992 | C_attn 0.0610 H_attn 0.7061 PR 6.70 Sspec 3.1753
step   6800 | train 1.000 val 0.992 | C_attn 0.0595 H_attn 0.7057 PR 6.23 Sspec 3.1571
step   6900 | train 1.000 val 0.992 | C_attn 0.0585 H_attn 0.7054 PR 5.91 Sspec 3.1395
step   7000 | train 1.000 val 0.992 | C_attn 0.0589 H_attn 0.7055 PR 5.66 Sspec 3.1243
step   7100 | train 1.000 val 0.996 | C_attn 0.0610 H_attn 0.7061 PR 5.50 Sspec 3.1127
step   7200 | train 1.000 val 0.996 | C_attn 0.0647 H_attn 0.7073 PR 5.39 Sspec 3.1047
step   7300 | train 1.000 val 1.000 | C_attn 0.0684 H_attn 0.7084 PR 5.32 Sspec 3.0994
step   7400 | train 1.000 val 1.000 | C_attn 0.0704 H_attn 0.7090 PR 5.32 Sspec 3.0950
step   7500 | train 1.000 val 1.000 | C_attn 0.0700 H_attn 0.7089 PR 5.35 Sspec 3.0872
step   7600 | train 1.000 val 1.000 | C_attn 0.0677 H_attn 0.7082 PR 5.39 Sspec 3.0686
step   7700 | train 1.000 val 1.000 | C_attn 0.0551 H_attn 0.7045 PR 5.35 Sspec 3.0237
step   7800 | train 1.000 val 0.986 | C_attn 0.0868 H_attn 0.7164 PR 5.03 Sspec 2.9536
step   7900 | train 1.000 val 1.000 | C_attn 0.1124 H_attn 0.7243 PR 5.49 Sspec 2.9485
step   8000 | train 1.000 val 1.000 | C_attn 0.0646 H_attn 0.7072 PR 5.60 Sspec 2.9301
wrote 81 checkpoints to results/grok_seed3.csv
